,name,description,price,imageUrl,brand
0,718 Cayman,No specific description yet,3850000000,https://porsche-vietnam.vn/wp-content/uploads/2018/07/model-718-cayman.png,porsche
1,718 Cayman S,No specific description yet,4770000000,https://porsche-vietnam.vn/wp-content/uploads/2013/11/porsche-718-cayman-s-model.png,porsche
2,718 Boxster,No specific description yet,3960000000,https://porsche-vietnam.vn/wp-content/uploads/2013/11/porsche-718-boxster-model.png,porsche
3,718 Boxster S,No specific description yet,4880000000,https://porsche-vietnam.vn/wp-content/uploads/2013/11/982-718-bos-modelimage-sideshot-840x473.png,porsche
4,718 Cayman Style Edition,No specific description yet,4260000000,https://porsche-vietnam.vn/wp-content/uploads/2023/02/982-718-c7-se-modelimage-sideshot-840x473.png,porsche
5,718 Boxster Style Edition,No specific description yet,4380000000,https://porsche-vietnam.vn/wp-content/uploads/2023/02/982-718-bo-se-modelimage-sideshot-840x473.png,porsche
6,911 Carrera,No specific description yet,7620000000,https://porsche-vietnam.vn/wp-content/uploads/2019/08/992-c2-modelimage-sideshot-840x473.png,porsche
7,911 Carrera T,No specific description yet,8310000000,https://porsche-vietnam.vn/wp-content/uploads/2023/02/992-carrera-t-modelimage-sideshot-840x473.png,porsche
8,911 Carrera Cabriolet,No specific description yet,8470000000,https://porsche-vietnam.vn/wp-content/uploads/2019/11/992-c2cab-modelimage-sideshot-840x473.png,porsche
9,911 Carrera GTS,No specific description yet,9630000000,https://porsche-vietnam.vn/wp-content/uploads/2021/07/992-c2-gts-modelimage-sideshot-840x473.png,porsche
10,911 Carrera GTS Cabriolet,No specific description yet,10510000000,https://porsche-vietnam.vn/wp-content/uploads/2021/07/992-c2cab-gts-modelimage-sideshot-840x473.png,porsche
11,911 Carrera 4,No specific description yet,8100000000,https://porsche-vietnam.vn/wp-content/uploads/2019/09/992-c4-modelimage-sideshot-840x473.png,porsche
12,911 Carrera 4 Cabriolet,No specific description yet,8910000000,https://porsche-vietnam.vn/wp-content/uploads/2019/10/992-c4cab-modelimage-sideshot-840x473.png,porsche
13,911 Carrera 4 GTS,No specific description yet,10120000000,https://porsche-vietnam.vn/wp-content/uploads/2021/07/992-c4-gts-modelimage-sideshot-840x473.png,porsche
14,911 Carrera 4 GTS Cabriolet,No specific description yet,11000000000,https://porsche-vietnam.vn/wp-content/uploads/2021/07/992-c4cab-gts-modelimage-sideshot-840x473.png,porsche
15,911 Carrera S,No specific description yet,8530000000,https://porsche-vietnam.vn/wp-content/uploads/2018/11/992-c2s-modelimage-sideshot.png,porsche
16,911 Carrera S Cabriolet,No specific description yet,9350000000,https://porsche-vietnam.vn/wp-content/uploads/2020/08/992-c2scab-modelimage-sideshot.png,porsche
17,911 Carrera 4S,No specific description yet,8980000000,https://porsche-vietnam.vn/wp-content/uploads/2018/11/992-c4s-modelimage-sideshot.png,porsche
18,911 Carrera 4S Cabriolet,No specific description yet,9850000000,https://porsche-vietnam.vn/wp-content/uploads/2020/08/992-c4scab-modelimage-sideshot.png,porsche
